"id","StartDate","EndDate","Status","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","DistributionChannel","UserLanguage","QScreen1","QScreen2","QBHI0","QBHI1","QBHI2","QBHI3","QBHI4","QFeelings_1","QFeelings_2","QFeelings_3","QFeelings_4","QFeelings_5","QFeelings_6","QFeelings_7","QFeelings_8","QJew1","QJew2","QJew3","QJew4","QJew5","QJew6","QHit1","QHit2","QHit3","QHit4","QVio1","QVio2","QVio3","QDemo1","QDemo2","QDemo3","QDemo6","QDemo7","QDemo8","QDemo9","QDemo10","opp","gc","term","transaction_id","SVID","PS","rid","RISN","V","LS","Q_BallotBoxStuffing","Q_RelevantIDDuplicate","Q_RelevantIDDuplicateScore","Q_RecaptchaScore","Q_RelevantIDFraudScore","Q_TotalDuration","wt","Black","IDed.BHI","BHI.Believer"
11,45118.4464467593,45118.4487731481,"IP Address",100,201,"True",45118.448781412,"R_2TWTuOrsqu4PVrv","anonymous","EN","White","No","The Old Testament","Not familiar at all","Neither agree nor disagree","Neither agree nor disagree","Strongly agree",46,82,31,19,74,22,22,17,"Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Neither support nor oppose","Neither support nor oppose","Neither support nor oppose","Neither support nor oppose","Strongly support","Neither support nor oppose","Neither support nor oppose","No",41,"Female","Catholic","Something else","Moderate","High school graduate","Never","Qual29638-0130-BlackandNonBlack",1,NA,"3fFyo8GPUsH4EaTWtuu4dk",17214459,904,NA,NA,NA,NA,NA,NA,NA,NA,NA,201,3.12587296734149,"Nonblack",FALSE,FALSE
12,45118.4481944444,45118.4509375,"IP Address",100,237,"True",45118.4509552199,"R_2dgRr0BE7JYb1DV","anonymous","EN","White","No","The Old Testament","Moderately familiar","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree",72,89,52,80,0,95,51,51,"Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Strongly disagree","Strongly oppose","Strongly oppose","Somewhat oppose","Somewhat support","Somewhat oppose","Strongly oppose","Somewhat oppose","No",52,"Female","None","Democrat","Moderate","Some college","Several times a day","Qual29638-0130-BlackandNonBlack",1,NA,"4RDQ7hUh7vDFB1yfxCT2Kp",17214459,904,NA,NA,NA,NA,NA,NA,NA,NA,NA,237,2.93350589751405,"Nonblack",FALSE,FALSE
13,45118.447349537,45118.4509837963,"IP Address",100,313,"True",45118.4509906482,"R_2X1K1CIeLvSBoh4","anonymous","EN","Black or African American","No","The Old Testament","Very familiar","Strongly agree","Strongly agree","Strongly agree",100,100,100,100,100,100,100,100,"Strongly agree",NA,"Neither agree nor disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly oppose","Strongly oppose","Strongly support","Strongly support","Strongly oppose","Strongly oppose","Strongly oppose","No",32,"Male","Muslim","Democrat","Very conservative","High school graduate","Several times a day","Qual29638-0130-BlackandNonBlack",1,NA,"1kWXTu99acaJFi1xzbThhA",17214459,904,NA,NA,NA,NA,NA,NA,NA,NA,NA,313,2.0338695625835,"Black",FALSE,TRUE
14,45118.4488425926,45118.4516435185,"IP Address",100,242,"True",45118.4516526505,"R_88v1fTWzzymfntT","anonymous","EN","White","No","The Old Testament","Slightly familiar","Neither agree nor disagree","Somewhat disagree","Somewhat agree",51,50,51,56,52,51,50,50,"Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly oppose","Strongly oppose","Somewhat support","Strongly oppose","Strongly oppose","Strongly oppose","Strongly oppose","No",48,"Female","Catholic","Independent","Moderate","4 year degree","Several times a day","Qual29638-0130-BlackandNonBlack",1,NA,"4YVrN8qzJRYWMGnRT4bYLy",17214459,904,NA,NA,NA,NA,NA,NA,NA,NA,NA,242,4.36044842532774,"Nonblack",FALSE,FALSE
15,45118.447974537,45118.4517939815,"IP Address",100,330,"True",45118.4518104167,"R_Y0xCbod9esc2gW5","anonymous","EN","White","No","The Old Testament","Not familiar at all","Somewhat agree","Neither agree nor disagree","Strongly agree",100,53,34,53,13,100,53,100,"Somewhat disagree","Strongly disagree","Somewhat disagree","Somewhat agree",NA,"Strongly disagree","Strongly oppose","Strongly oppose","Strongly support","Strongly support","Strongly oppose","Neither support nor oppose","Strongly oppose","No",51,"Female","Other","Independent","Somewhat conservative","High school graduate","Several times a day","Qual29638-0130-BlackandNonBlack",1,NA,"4AqXMJGE6mfT6et4runzV1",17214459,904,NA,NA,NA,NA,NA,NA,NA,NA,NA,330,5.00009858603021,"Nonblack",FALSE,FALSE
16,45118.4495833333,45118.452650463,"IP Address",100,264,"True",45118.4526643519,"R_Ox27uiYB4A1GHS1","anonymous","EN","American Indian or Alaska Native","No","The Old Testament","Not familiar at all","Somewhat disagree","Somewhat disagree","Somewhat agree",NA,50,51,NA,NA,NA,NA,NA,"Neither agree nor disagree","Strongly disagree","Neither agree nor disagree","Strongly disagree",NA,"Strongly disagree","Strongly oppose","Somewhat oppose","Strongly oppose","Strongly oppose","Strongly oppose","Strongly oppose","Strongly oppose","No",36,"Female","None","Democrat","Very liberal","2 year degree","Several times a day","Qual29638-0130-BlackandNonBlack",1,NA,"2t6DIiUikcayJrylJtibFl",17214459,904,NA,NA,NA,NA,NA,NA,NA,NA,NA,264,1.3078938682856e-05,"Nonblack",FALSE,FALSE
17,45118.4485069444,45118.452662037,"IP Address",100,359,"True",45118.452674456,"R_yvFqVoc4S0PoUb7","anonymous","EN","White","No","The Old Testament","Slightly familiar","Somewhat disagree","Somewhat agree","Somewhat agree",50,70,50,50,70,70,49,50,"Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Strongly disagree","Somewhat oppose","Strongly oppose","Somewhat support","Somewhat support","Strongly oppose","Strongly oppose","Strongly oppose","No",66,"Female","Protestant","Republican","Somewhat conservative","High school graduate","Once a day","Qual29638-0130-BlackandNonBlack",1,NA,"1WRsRfLSzvOQwRz7nT6CA2",17214459,904,NA,NA,NA,NA,NA,NA,NA,NA,NA,359,5.00009858603021,"Nonblack",FALSE,FALSE
18,45118.4488657407,45118.4528472222,"IP Address",100,343,"True",45118.4528576852,"R_2ALmEGk99HmQeIe","anonymous","EN","White","No","The Old Testament","Moderately familiar","Somewhat disagree","Somewhat disagree","Neither agree nor disagree",77,76,75,73,75,75,56,74,"Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Strongly disagree","Strongly oppose","Somewhat oppose","Strongly support","Somewhat support","Strongly oppose","Strongly oppose","Strongly oppose","No",70,"Female","Protestant","Independent","Moderate","Some college","Several times a day","Qual29638-0130-BlackandNonBlack",1,NA,"64AB3EwcasMq21ssOanDt5",17214459,904,NA,NA,NA,NA,NA,NA,NA,NA,NA,343,5.00009858603021,"Nonblack",FALSE,FALSE
19,45118.4486805556,45118.4533333333,"IP Address",100,401,"True",45118.4533424653,"R_PSxVPebcwgIgFQ5","anonymous","EN","White","No","The Old Testament","Slightly familiar","Strongly disagree","Strongly disagree","Strongly agree",100,100,100,100,80,100,100,100,"Strongly disagree","Neither agree nor disagree","Strongly disagree",NA,NA,"Strongly disagree","Strongly oppose","Strongly oppose","Strongly support","Somewhat oppose","Strongly oppose","Strongly oppose","Strongly oppose","No",30,"Female","None","Democrat","Moderate","Masters/Professional degree","Several times a day","Qual29638-0130-BlackandNonBlack",1,NA,"2vACWRZ1SgTHYsRN2AkdPR",17214459,904,NA,NA,NA,NA,NA,NA,NA,NA,NA,401,1.03637425368003,"Nonblack",FALSE,FALSE
20,45118.4502893519,45118.4539351852,"IP Address",100,314,"True",45118.4539425694,"R_2bK7iBCytWz3KTS","anonymous","EN","White","No","The Old Testament","Slightly familiar","Strongly disagree","Strongly disagree","Somewhat agree",50,90,21,20,80,80,7,40,"Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Strongly disagree","Neither agree nor disagree",NA,"Somewhat oppose","Somewhat oppose","Strongly support","Strongly support","Somewhat oppose","Somewhat oppose","Somewhat oppose","No",57,"Male","None","Democrat","Moderate","4 year degree","Several times a week","Qual29638-0130-BlackandNonBlack",1,NA,"7JWTecKOSuBrekwUXDb7b9",17214459,904,NA,NA,NA,NA,NA,NA,NA,NA,NA,314,5.00009858603021,"Nonblack",FALSE,FALSE
21,45118.4480787037,45118.4540625,"IP Address",100,517,"True",45118.4540793634,"R_3R9jPohKcX9MphT","anonymous","EN","White","No","The Old Testament","Not familiar at all","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree",50,50,50,50,82,50,50,50,NA,"Somewhat disagree",NA,NA,NA,"Strongly disagree","Neither support nor oppose","Neither support nor oppose","Strongly support","Neither support nor oppose","Strongly oppose","Strongly oppose","Somewhat oppose","No",66,"Female","Catholic","Republican","Somewhat conservative","High school graduate","Several times a day","Qual29638-0130-BlackandNonBlack",1,NA,"7iCYjECVWJjnvohJT8OfpD",17214459,904,NA,NA,NA,NA,NA,NA,NA,NA,NA,517,5.00009858603021,"Nonblack",FALSE,FALSE
22,45118.4508912037,45118.4540740741,"IP Address",100,274,"True",45118.4540846991,"R_1DoOLnAXvbCTrJQ","anonymous","EN","White","No","The Old Testament","Slightly familiar","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree",100,100,85,100,86,98,81,94,NA,NA,NA,NA,NA,"Strongly disagree","Strongly oppose","Somewhat oppose","Strongly support","Strongly support","Strongly oppose","Strongly oppose","Somewhat support","No",32,"Female","Catholic","Independent","Moderate","Some college","Once a day","Qual29638-0130-BlackandNonBlack",1,NA,"7oToUQZWtPys3qh7Gqq0F5",17214459,904,NA,NA,NA,NA,NA,NA,NA,NA,NA,274,0.689171478105921,"Nonblack",FALSE,FALSE
23,45118.4505092593,45118.454849537,"IP Address",100,374,"True",45118.4548579167,"R_3nIQwQxf5NhBECl","anonymous","EN","Black or African American","No","The Old Testament","Slightly familiar","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree",100,11,NA,40,100,6,22,100,"Strongly agree","Somewhat disagree","Strongly agree","Somewhat agree","Strongly agree",NA,"Strongly oppose","Neither support nor oppose","Strongly support","Strongly support","Neither support nor oppose","Strongly oppose","Somewhat support","No",32,"Female","None","Republican","Very conservative","Less than high school","Several times a day","Qual29638-0130-BlackandNonBlack",1,NA,"1iWuYY6K2lu3uqej2MHaYq",17214459,904,NA,NA,NA,NA,NA,NA,NA,NA,NA,374,2.61670635338229,"Black",FALSE,FALSE
24,45118.4514699074,45118.4550231482,"IP Address",100,306,"True",45118.4550388079,"R_3oSC3HthD0NshtP","anonymous","EN","White","No","The Old Testament","Not familiar at all","Neither agree nor disagree","Strongly disagree","Somewhat agree",59,54,59,61,24,50,31,50,"Strongly disagree","Somewhat disagree","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Strongly disagree","Strongly oppose","Strongly oppose","Somewhat support","Strongly support","Somewhat oppose","Somewhat oppose","Somewhat support","No",29,"Male","None","Independent","Somewhat liberal","Some college","Several times a day","Qual29638-0130-BlackandNonBlack",1,NA,"5OKBmI3c2L43vRAsZKeBFA",17214459,904,NA,NA,NA,NA,NA,NA,NA,NA,NA,306,2.83644458855526,"Nonblack",FALSE,FALSE
25,45118.4525231482,45118.4558101852,"IP Address",100,283,"True",45118.455828669,"R_09wgK6eyfRbmEQF","anonymous","EN","White","Yes","The Old Testament","Not familiar at all","Neither agree nor disagree","Neither agree nor disagree","Strongly agree",50,50,50,50,50,50,50,50,NA,"Strongly disagree",NA,NA,NA,"Strongly disagree","Strongly oppose","Somewhat oppose","Somewhat support","Strongly support","Strongly oppose","Strongly oppose","Strongly oppose","No",30,"Female","None","Something else","Moderate","Some college","Once a day","Qual29638-0130-BlackandNonBlack",1,NA,"3pLwFw2UJmMQC5AVultqmd",17214459,904,NA,NA,NA,NA,NA,NA,NA,NA,NA,283,0.352081087949666,"Nonblack",FALSE,FALSE
26,45118.4505902778,45118.4563310185,"IP Address",100,495,"True",45118.4563401852,"R_2dmqoJwANpNubd0","anonymous","EN","Asian or Pacific Islander","No","The Old Testament","Not familiar at all","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree",50,50,50,50,50,50,50,50,"Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Strongly disagree","Strongly oppose","Strongly oppose","Strongly oppose","Strongly oppose","Strongly oppose","Strongly oppose","Strongly oppose","No",34,"Female","Other","Independent","Very liberal","Some college","Once a day","Qual29638-0130-BlackandNonBlack",1,NA,"3mIbjxOwODndhzlzg2ocTY",17214459,904,NA,NA,NA,NA,NA,NA,NA,NA,NA,495,0.194591057065207,"Nonblack",FALSE,FALSE
27,45118.4503472222,45118.4564930556,"IP Address",100,530,"True",45118.4565023264,"R_3FUU7fQdKm469Ib","anonymous","EN","White","No","The Old Testament","Not familiar at all","Strongly disagree","Somewhat disagree","Somewhat agree",48,100,84,48,67,89,48,22,"Strongly disagree","Neither agree nor disagree","Strongly disagree","Strongly disagree","Neither agree nor disagree","Strongly disagree","Strongly oppose","Somewhat support","Strongly support","Strongly support","Strongly oppose","Strongly oppose","Strongly oppose","No",66,"Female","Jewish","Democrat","Somewhat liberal","4 year degree","Never","Qual29638-0130-BlackandNonBlack",1,NA,"3QPKR9IGq1tuaUKqCa2udW",17214459,904,NA,NA,NA,NA,NA,NA,NA,NA,NA,530,5.00009858603021,"Nonblack",FALSE,FALSE
28,45118.4545717593,45118.4571412037,"IP Address",100,221,"True",45118.4571488773,"R_qLvP26JMcvqENSF","anonymous","EN","White","No","The Old Testament","Moderately familiar","Strongly disagree","Somewhat disagree","Strongly agree",100,100,100,100,100,0,100,0,NA,"Strongly disagree","Strongly disagree",NA,"Strongly disagree","Strongly disagree","Strongly support","Strongly oppose","Strongly oppose","Strongly oppose","Strongly oppose","Strongly oppose","Strongly oppose","No",39,"Male","Protestant","Democrat","Somewhat liberal","Masters/Professional degree","Once a day","Qual29638-0130-BlackandNonBlack",1,NA,"26yZpgio1oOZvyj6Nc2eB3",17214459,904,NA,NA,NA,NA,NA,NA,NA,NA,NA,221,4.91955145662789,"Nonblack",FALSE,FALSE
29,45118.4524884259,45118.4571990741,"IP Address",100,406,"True",45118.4572058333,"R_1mP26LhZERqTnJ4","anonymous","EN","White","No","The Old Testament","Slightly familiar","Somewhat disagree","Somewhat disagree","Somewhat disagree",50,50,50,50,80,50,30,50,"Strongly disagree","Strongly disagree",NA,NA,NA,"Strongly disagree","Strongly oppose","Somewhat oppose","Strongly support","Strongly support","Strongly oppose","Strongly oppose","Neither support nor oppose","No",31,"Female","Other","Republican","Somewhat conservative","2 year degree","Several times a day","Qual29638-0130-BlackandNonBlack",1,NA,"1Kjk84O7k3bKpUo1m9UjCK",17214459,904,NA,NA,NA,NA,NA,NA,NA,NA,NA,406,0.668247313505287,"Nonblack",FALSE,FALSE
30,45118.4464814815,45118.4577546296,"IP Address",100,974,"True",45118.4577669676,"R_2dFs6sINUdgfBXY","anonymous","EN","Other","Yes","The Old Testament","Slightly familiar","Somewhat agree","Somewhat agree","Strongly agree",81,56,100,72,100,82,71,80,"Strongly agree","Somewhat disagree","Neither agree nor disagree","Strongly agree","Somewhat agree","Strongly disagree","Strongly oppose","Strongly oppose","Strongly support","Somewhat support","Somewhat support","Neither support nor oppose","Strongly support","No",76,"Male","Other","Democrat","Somewhat conservative","Doctorate","Once a day","Qual29638-0130-BlackandNonBlack",1,NA,"5Y4I8r1a5tii4RCraz4xZE",17214459,904,NA,NA,NA,NA,NA,NA,NA,NA,NA,974,2.6440407742371,"Nonblack",FALSE,FALSE
31,45118.4562962963,45118.4578819444,"IP Address",100,137,"True",45118.4578925694,"R_1ruEQGw6ivSUFeN","anonymous","EN","White","No","The Old Testament","Moderately familiar","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree",53,63,76,73,57,56,50,53,"Somewhat agree",NA,"Strongly disagree",NA,NA,"Strongly disagree","Neither support nor oppose","Neither support nor oppose","Strongly oppose","Strongly oppose","Neither support nor oppose","Neither support nor oppose","Somewhat support","No",40,"Female","None","Something else","Moderate","Some college","Once a day","Qual29638-0130-BlackandNonBlack",1,NA,"3BqqakNGJpJ6BTlLBnOuCU",17214459,904,NA,NA,NA,NA,NA,NA,NA,NA,NA,137,0.794857322277031,"Nonblack",FALSE,FALSE
32,45118.4559953704,45118.4583333333,"IP Address",100,201,"True",45118.4583412847,"R_0lj1xrxMqqi6C77","anonymous","EN","White","No","The Old Testament","Moderately familiar","Strongly disagree","Neither agree nor disagree","Somewhat agree",100,100,100,100,100,100,100,100,"Strongly agree","Somewhat disagree","Somewhat disagree",NA,"Neither agree nor disagree","Strongly disagree","Strongly oppose","Strongly oppose","Somewhat support","Somewhat oppose","Strongly oppose","Strongly oppose","Strongly oppose","No",79,"Female","Protestant","Republican","Very conservative","Some college","Rarely","Qual29638-0130-BlackandNonBlack",1,NA,"6RVR52zWRmMqQfYfNysGxm",17214459,904,NA,NA,NA,NA,NA,NA,NA,NA,NA,201,5.00009858603021,"Nonblack",FALSE,FALSE
33,45118.4578703704,45118.4587152778,"IP Address",100,73,"True",45118.4587313657,"R_3JLeqlRAlyiFPjz","anonymous","EN","White","No","The Old Testament","Slightly familiar","Somewhat agree","Somewhat agree","Somewhat agree",78,75,76,74,76,76,78,77,"Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither support nor oppose","Neither support nor oppose","Neither support nor oppose","Neither support nor oppose","Neither support nor oppose","Neither support nor oppose","Neither support nor oppose","No",58,"Female","Catholic","Democrat","Somewhat liberal","4 year degree","Once a day","Qual29638-0130-BlackandNonBlack",1,NA,"7ydF84gkHnMi8Ym2HfKkx2",17214459,904,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,5.00009858603021,"Nonblack",FALSE,FALSE
34,45118.4581018519,45118.4610185185,"IP Address",100,252,"True",45118.4610358102,"R_12A4uqE6owAnk9x","anonymous","EN","Asian or Pacific Islander","No","The Old Testament","Not familiar at all","Somewhat disagree","Somewhat agree","Somewhat agree",70,70,71,71,69,70,50,71,"Strongly agree","Somewhat agree","Strongly disagree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Strongly oppose","Somewhat oppose","Strongly support","Strongly support","Strongly oppose","Strongly oppose","Somewhat support","No",30,"Female","Other","Republican","Somewhat conservative","4 year degree","Several times a day","Qual29638-0130-BlackandNonBlack",1,NA,"1jOiSZy7SjY4cgNH5PHiKT",17214459,904,NA,NA,NA,NA,NA,NA,NA,NA,NA,252,0.289245802806086,"Nonblack",FALSE,FALSE
